iter	Passed	Remaining
573	2253	5991
574	2257	5986
575	2260	5980
576	2264	5977
577	2267	5971
578	2270	5965
579	2275	5964
580	2279	5958
581	2283	5955
582	2286	5949
583	2289	5943
584	2292	5937
585	2296	5932
586	2299	5926
587	2302	5920
588	2306	5917
589	2309	5911
590	2313	5905
591	2317	5904
592	2321	5899
593	2324	5893
594	2328	5889
595	2331	5884
596	2334	5878
597	2339	5875
598	2342	5869
599	2345	5864
600	2350	5862
601	2353	5856
602	2356	5850
603	2360	5846
604	2376	5871
605	2380	5869
606	2384	5865
607	2387	5859
608	2391	5856
609	2395	5850
610	2398	5844
611	2402	5841
612	2405	5835
613	2408	5830
614	2413	5828
615	2417	5823
616	2420	5817
617	2425	5816
618	2428	5810
619	2431	5804
620	2436	5804
621	2440	5798
622	2443	5793
623	2448	5791
624	2451	5785
625	2455	5782
626	2459	5778
627	2462	5772
628	2467	5769
629	2470	5764
630	2473	5759
631	2478	5756
632	2482	5752
633	2485	5746
634	2489	5742
635	2492	5737
636	2495	5731
637	2499	5728
638	2503	5722
639	2506	5717
640	2511	5715
641	2514	5710
642	2517	5705
643	2521	5700
644	2524	5695
645	2527	5689
646	2532	5687
647	2536	5683
648	2540	5679
649	2543	5674
650	2546	5669
651	2551	5666
652	2554	5661
653	2557	5655
654	2561	5651
655	2565	5646
656	2568	5642
657	2573	5640
658	2576	5634
659	2579	5628
660	2584	5626
661	2588	5621
662	2591	5617
663	2596	5615
664	2599	5609
665	2602	5603
666	2606	5600
667	2609	5594
668	2612	5588
669	2617	5587
670	2621	5582
671	2624	5577
672	2629	5575
673	2632	5570
674	2637	5567
675	2640	5562
676	2643	5556
677	2647	5553
678	2651	5548
679	2654	5543
680	2658	5539
681	2662	5534
682	2665	5529
683	2669	5525
684	2672	5521
685	2675	5515
686	2680	5512
687	2683	5507
688	2688	5505
689	2692	5501
690	2695	5496
691	2701	5497
692	2705	5492
693	2710	5492
694	2714	5487
695	2717	5481
696	2724	5483
697	2727	5479
698	2732	5477
699	2736	5472
700	2741	5470
701	2745	5467
702	2749	5463
703	2755	5463
704	2759	5459
705	2763	5457
706	2767	5452
707	2770	5447
708	2774	5444
709	2778	5439
710	2781	5434
711	2785	5430
712	2788	5425
713	2792	5420
714	2796	5417
715	2799	5411
716	2802	5406
717	2806	5402
718	2810	5397
719	2813	5392
720	2817	5388
721	2820	5383
722	2823	5378
723	2828	5375
724	2831	5370
725	2834	5365
726	2838	5361
727	2841	5355
728	2844	5350
729	2849	5346
730	2852	5341
731	2855	5335
732	2859	5333
733	2862	5328
734	2866	5322
735	2871	5321
736	2874	5316
737	2878	5311
738	2882	5309
739	2886	5304
740	2890	5300
741	2894	5296
742	2897	5292
743	2902	5289
744	2905	5284
745	2908	5279
746	2912	5275
747	2916	5270
748	2919	5265
749	2923	5261
750	2926	5256
751	2929	5251
752	2933	5248
753	2937	5243
754	2940	5238
755	2945	5235
756	2949	5232
757	2952	5227
758	2957	5225
759	2960	5220
760	2964	5215
761	2967	5211
762	2970	5205
763	2974	5201
764	2978	5197
765	2981	5192
766	2984	5187
767	2989	5185
768	2993	5180
769	2996	5175
770	3001	5173
771	3004	5168
772	3009	5165
773	3012	5161
774	3016	5156
775	3019	5152
776	3022	5147
777	3025	5141
778	3030	5138
779	3033	5133
780	3036	5128
781	3041	5126
782	3045	5122
783	3048	5116
784	3052	5113
785	3055	5108
786	3058	5103
787	3063	5101
788	3067	5096
789	3070	5091
790	3075	5089
791	3078	5084
792	3081	5079
793	3086	5076
794	3089	5072
795	3093	5067
796	3096	5062
797	3099	5057
798	3102	5052
799	3107	5049
800	3110	5044
801	3113	5038
802	3118	5036
803	3121	5031
804	3124	5026
805	3128	5022
806	3131	5017
807	3134	5011
808	3139	5010
809	3142	5005
810	3145	5000
811	3150	4997
812	3153	4992
813	3157	4987
814	3160	4983
815	3164	4978
816	3167	4973
817	3171	4970
818	3174	4965
819	3177	4960
820	3183	4958
821	3186	4954
822	3189	4949
823	3194	4946
824	3197	4942
825	3202	4939
826	3206	4935
827	3209	4930
828	3214	4927
829	3217	4923
830	3220	4918
831	3225	4915
832	3228	4910
833	3231	4905
834	3236	4903
835	3239	4898
836	3243	4894
837	3246	4889
838	3249	4884
839	3252	4879
840	3256	4875
841	3259	4870
842	3262	4865
843	3267	4861
844	3270	4856
845	3273	4852
846	3278	4849
847	3281	4844
848	3284	4839
849	3288	4836
850	3292	4831
851	3295	4826
852	3299	4823
853	3302	4818
854	3305	4813
855	3310	4811
856	3314	4807
857	3317	4801
858	3321	4798
859	3324	4793
860	3327	4788
861	3331	4785
862	3334	4780
863	3337	4775
864	3342	4772
865	3345	4767
866	3348	4762
867	3353	4760
868	3357	4755
869	3360	4750
870	3364	4747
871	3367	4742
872	3371	4738
873	3375	4734
874	3378	4730
875	3381	4725
876	3387	4723
877	3390	4719
878	3395	4716
879	3398	4711
880	3401	4706
881	3405	4702
882	3408	4697
883	3411	4692
884	3415	4689
885	3419	4684
886	3422	4679
887	3426	4676
888	3430	4672
889	3433	4668
890	3437	4664
891	3440	4659
892	3443	4654
893	3448	4651
894	3452	4648
895	3455	4643
896	3460	4641
897	3463	4636
898	3467	4631
899	3471	4629
900	3475	4624
901	3478	4619
902	3482	4616
903	3485	4611
904	3488	4606
905	3493	4603
906	3496	4598
907	3499	4594
908	3503	4590
909	3506	4585
910	3510	4581
911	3514	4577
912	3517	4572
913	3520	4568
914	3525	4565
915	3529	4561
916	3533	4558
917	3536	4553
918	3539	4549
919	3544	4545
920	3547	4541
921	3550	4536
922	3557	4536
923	3561	4532
924	3565	4528
925	3569	4524
926	3572	4520
927	3576	4517
928	3580	4513
929	3583	4508
930	3588	4505
931	3591	4501
932	3595	4496
933	3599	4493
934	3602	4488
935	3605	4483
936	3609	4480
937	3612	4475
938	3615	4470
939	3620	4467
940	3624	4463
941	3627	4459
942	3631	4455
943	3634	4450
944	3637	4446
945	3641	4442
946	3644	4437
947	3648	4433
948	3652	4429
949	3655	4424
950	3658	4420
951	3663	4417
952	3666	4413
953	3669	4408
954	3674	4404
955	3677	4400
956	3680	4395
957	3684	4392
958	3688	4388
959	3691	4383
960	3695	4379
961	3698	4375
962	3701	4370
963	3706	4367
964	3709	4363
965	3712	4358
966	3718	4356
967	3721	4352
968	3725	4348
969	3729	4344
970	3732	4339
971	3736	4336
972	3740	4332
973	3743	4327
974	3747	4323
975	3750	4319
976	3754	4314
977	3758	4311
978	3761	4306
979	3764	4302
980	3768	4298
981	3772	4294
982	3776	4290
983	3780	4287
984	3783	4283
985	3786	4278
986	3791	4275
987	3795	4271
988	3798	4266
989	3803	4264
990	3806	4259
991	3811	4256
992	3814	4252
993	3817	4247
994	3821	4243
995	3825	4240
996	3828	4235
997	3832	4231
998	3835	4227
999	3838	4222
1000	3842	4218
1001	3846	4214
1002	3849	4210
1003	3852	4205
1004	3856	4201
1005	3859	4196
1006	3862	4192
1007	3866	4189
1008	3870	4184
1009	3873	4180
1010	3877	4176
1011	3880	4171
1012	3883	4167
